Product ID;Image URLs (x,y,z...);Name *;Kategoria;index #;Price tax included;discount percent;discount from; discount to;tax rule;Quantity;Active (0/1);description;tax rule
1;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6780/tee_black-copy.jpg;T-shirt Lanek EXTRAVAGANZA Black; Ubrania, Koszulki;demo_1;119,99 zł;0;20.12.2022;20.01.2023;1;474;"Oficjalna koszulka promująca projekt Kamil Lanek - EXTRAVAGANZA.
Nadruk wykonany metodą sitodruku.Gramatura 220g100% najlepszej jakości bawełna.Wyprodukowane w Polsce.



 
Rozmiar


 
S
M
L
XL
XXL




Długość całkowita
70
72
74
76
78


Szerokość pod pachami
60
62
64
66
68


";1;1
2;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6789/merch-02.jpg,https://sbmstore.pl//userdata/public/gfx/6789/merch-02.jpg,https://sbmstore.pl//userdata/public/gfx/6790/merch-03.jpg;T-shirt Janusz Koszulczuk - Nowy Idol Tour White; Ubrania, Koszulki;demo_2;99,99 zł;0;20.12.2022;20.01.2023;1;503;"Oficjalny merch trasy Nowy Idol Tour
Nadruk wykonany metodą sitodruku.100& najlepsze jakości bawełna.Wyprodukowano w Polsce.



 
Rozmiar


 
S
M
L
XL
XXL




Długość całkowita
70
72
74
76
79


Szerokość pod pachami
60
62
65
67
69



 ";1;1
3;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6897/8.-TEE.jpg;T-shirt PNB White; Ubrania, Koszulki;demo_3;119,99 zł;0;20.12.2022;20.01.2023;1;849;"Oficjalna koszulka projektu “Palma na blokach” od Beteo. Krój oversize, 100% bawełna. Za projekt odpowiada Stasiek Zieliński. Widzimy się na bloku.



 
Rozmiar


 
S
M
L
XL




Długość całkowita
74
76
78
80


Szerokość pod pachami
62
64
68
70


";1;1
4;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6896/9.-BLUZA.jpg;Hoodie PNB Black ; Ubrania, Bluzy;demo_4;299,99 zł;0;20.12.2022;20.01.2023;1;302;" 
Oficjalna bluza ''Palma na blokach'' by @podwrko od Beteo. Krój oversize, 100% bawełna. Za projekt odpowiada Stasiek Zieliński. Widzimy się na bloku.



 
Rozmiar


 
S
M
L
XL
XXL




Długość całkowita
 73
75
77
79 
81 


Długość rękawa mierzona od wszycia
 80
82
85 
87 
90 


Szerokość pod pachami
 63
65
67 
69 
71 



 ";1;1
5;https://sbmstore.pl//environment/cache/images/380_380_productGfx_6835/TEES-2-REG-2-copy.png;T-shirt White 2115 Pretty Boy White; Ubrania, Koszulki;demo_5;119,99 zł;0;20.12.2022;20.01.2023;1;923;" 
Oficjalna koszulka promująca projekt “Pretty Boy” White’a 2115.
T-shirt o kroju oversize.Nadruki wykonane metodą sitodruku.100% najlepszej jakości bawełna, gramatura 185gWyprodukowane w Polsce.
 



 
Rozmiar


 
S
M
L
XL




Długość całkowita
74
76
78
80


Szerokość pod pachami
62
64
68
70



 ";1;1
6;https://sbmstore.pl//environment/cache/images/380_380_productGfx_5240/SBM-SBMAFFIJA-BIG-01-czarna-1.jpg,https://sbmstore.pl//userdata/public/gfx/5240/SBM-SBMAFFIJA-BIG-01-czarna-1.jpg,https://sbmstore.pl//userdata/public/gfx/5238/SBM-SBMAFFIJA-BIG-01-czarna-2.jpg,https://sbmstore.pl//userdata/public/gfx/1191/bluza11_detal1.jpg;Hoodie Big logo Black; Ubrania, Bluzy;demo_6;229,99 zł;0;20.12.2022;20.01.2023;1;368;"Klasyczna czarna bluza z kapturem.Z przodu nadruk wykonany metodą sitodruku. Na dole metka żakardowa.95% bawełna, 5% poliester. Wyprodukowana w Polsce.
RozmiarXSSMLXLXXLDługość całkowita606871767983Długość rękawa mierzona od ramienia6156,558606364Szerokość pod pachami54,55960,562,56467,5
";1;1
7;https://sbmstore.pl//environment/cache/images/380_380_productGfx_5236/SBM-SBMAFFIJA-BIG-02-biala-1.jpg,https://sbmstore.pl//userdata/public/gfx/5236/SBM-SBMAFFIJA-BIG-02-biala-1.jpg,https://sbmstore.pl//userdata/public/gfx/5234/SBM-SBMAFFIJA-BIG-02-biala-2.jpg;Hoodie Big Logo White; Męskie, Bluzy;demo_7;229,99 zł;0;20.12.2022;20.01.2023;1;959;"Klasyczna biała bluza z kapturem.Z przodu nadruk wykonany metodą sitodruku.Na dole metka żakardowa.95% bawełna, 5 % poliesterWyprodukowane w Polsce
RozmiarSMLXLXXLDługość całkowita6871767983Długość rękawa mierzona od ramienia56,558606364Szerokość pod pachami5960,562,56467,5
";1;1
8;https://sbmstore.pl//environment/cache/images/380_380_productGfx_4632.jpg,https://sbmstore.pl//userdata/public/gfx/4632.jpg,https://sbmstore.pl//userdata/public/gfx/4634.jpg,https://sbmstore.pl//userdata/public/gfx/4638.jpg,https://sbmstore.pl//userdata/public/gfx/4636.jpg;T-shirt SB Maffija Big Logo Black; Ubrania, Koszulki;demo_8;89,99 zł;0;20.12.2022;20.01.2023;1;951;"

Klasyczna koszulka SB Maffija.Z przodu nadruk wykonany metodą sitodruku.Na dole metka żakardowa.100% najlepszej jakości bawełna.Wyprodukowane w Polsce.
RozmiarSMLXLXXLDługość całkowita7275798285Szerokość pod pachami5052555860


";1;1
9;https://sbmstore.pl//environment/cache/images/380_380_productGfx_4640.jpg,https://sbmstore.pl//userdata/public/gfx/4640.jpg,https://sbmstore.pl//userdata/public/gfx/4642.jpg,https://sbmstore.pl//userdata/public/gfx/4644.jpg;T-shirt SB Maffija Big Logo White; Ubrania, Koszulki;demo_9;89,99 zł;0;20.12.2022;20.01.2023;1;751;"Biała koszulka SB Maffija.T-shirt o klasycznym kroju.Z przodu nadruk wykonany metodą sitodruku.Na dole metka żakardowa.100% najlepszej jakości bawełna.Wyprodukowane w Polsce.
RozmiarSMLXLXXLDługość całkowita7275798285Szerokość pod pachami5052555860
";1;1
10;https://sbmstore.pl//environment/cache/images/380_380_productGfx_3312/czarna-bluza-przod.jpg,https://sbmstore.pl//userdata/public/gfx/3312/czarna-bluza-przod.jpg,https://sbmstore.pl//userdata/public/gfx/3310/czarna-bluza-tyl.jpg,https://sbmstore.pl//userdata/public/gfx/3306/czarna-bluza-detal2.jpg,https://sbmstore.pl//userdata/public/gfx/3304/czarna-bluza-detal3.jpg,https://sbmstore.pl//userdata/public/gfx/3308/czarna-bluza-detal.jpg;Hoodie Basic Logo Back Black; Ubrania, Bluzy;demo_10;229,99 zł;0;20.12.2022;20.01.2023;1;798;"Ostatnie sztuki!
Czarna bluza z kapturem.Z przodu i na plecach nadruk wykonany metodą sitodruku.Na kieszeni naszyta metka żakardowa.100% najlepszej jakości bawełna.Wyprodukowane w Polsce.";1;1
